"","5","10","20","30"
"MDS",0.622569000000001,0.706392,0.836857000000005,0.849614500000002
"H1",0.896526000000004,0.944540500000003,0.938878500000007,0.93899150000001
"H2",0.965236000000001,0.970355,0.997906,0.999645
