"","X5","X10","X20","X30"
"MDS",0.144101522210663,0.0444902878426784,0.0228185325149616,0.0202386045233238
"H1",0.0138224045033087,0.00428149413787503,0.0032265311759377,0.00317084555188995
"H2",0.023236006952891,0.00396229070400965,0.000564405743765841,0.00016222205046649
