"","X5","X10","X20","X30"
"MDS",0.103802459332434,0.0415868247845123,0.0221504969531307,0.0196794296995907
"H1",0.0142964272288961,0.00463785447141349,0.00356015408988765,0.00350329449606817
"H2",0.0233967036606086,0.0039783101049637,0.000622028027328323,0.000233451078481903
