"","X5","X10","X20","X30"
"MDS",0.616600495,0.709235215,0.781345075,0.789163905000001
"H1",0.801193435000001,0.870994155000002,0.898079670000002,0.901615150000002
"H2",0.905875360000001,0.951072625,0.97198311,0.987314955
